Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Vol_total,Cluster,order
61,A1,2,10.0,20.50756,-98.222328,20.0,2,0
437,A1,1,39.0,20.497717,-98.232389,39.0,2,1
1424,A1,1,2.0,20.510017,-98.23219,2.0,2,2
2627,A1,1,2.0,20.53146,-98.246986,2.0,2,3
614,A1,1,1.0,20.53215,-98.241295,1.0,2,4
52,A1,2,14.5,20.518438,-98.223294,29.0,2,5
2973,A1,1,1.0,20.53784,-98.227597,1.0,2,6
2742,A1,1,15.0,20.51282,-98.221717,15.0,2,7
344,A1,1,40.0,20.538471,-98.229586,40.0,2,8
392,A1,1,38.0,20.52949,-98.235638,38.0,2,9
2713,A1,1,2.0,20.534334,-98.213183,2.0,2,10
2811,A1,1,2.0,20.52705,-98.23412,2.0,2,11
2899,A1,1,2.0,20.501262,-98.246614,2.0,2,12
142,A1,3,18.33333333,20.502078,-98.218762,54.99999998999999,2,13
3473,A1,1,5.0,20.512974,-98.204622,5.0,2,14
2176,A1,1,2.0,20.527863,-98.233871,2.0,2,15
2653,A1,1,18.0,20.514638,-98.201457,18.0,2,16
834,A1,1,1.0,20.513004,-98.228594,1.0,2,17
1822,A1,1,118.0,20.526621,-98.216251,118.0,2,18
3022,A1,1,5.0,20.511885,-98.224175,5.0,2,19
1093,A1,1,14.0,20.555362,-98.222261,14.0,2,20
1244,A1,1,2.0,20.524688,-98.207666,2.0,2,21
2944,A1,1,37.0,20.525395,-98.22947,37.0,2,22
2804,A1,1,2.0,20.507791,-98.240602,2.0,2,23
3583,A1,1,2.0,20.534255,-98.218709,2.0,2,24
1224,A1,1,2.0,20.547051,-98.220956,2.0,2,25
2387,A1,1,7.0,20.530102,-98.265963,7.0,2,26
2744,A1,1,14.0,20.509859,-98.218921,14.0,2,27
2896,A1,1,1.0,20.529511,-98.210433,1.0,2,28
3159,A1,1,3.0,20.538311,-98.23931,3.0,2,29
367,A1,1,2.0,20.53896,-98.225699,2.0,2,30
2625,A1,1,10.0,20.532415,-98.252615,10.0,2,31
16,A1,1,12.0,20.5433,-98.228,12.0,2,32
1243,A1,1,7.0,20.537664000000003,-98.220674,7.0,2,33
885,A1,1,1.0,20.525074,-98.235361,1.0,2,34
1393,A1,1,98.0,20.504592,-98.218183,98.0,2,35
1072,A1,1,1.0,20.53516,-98.234425,1.0,2,36
560,A1,1,2.0,20.505129,-98.245211,2.0,2,37
3219,A1,1,3.0,20.545531,-98.242267,3.0,2,38
684,A1,1,3.0,20.513761,-98.243933,3.0,2,39
740,A1,1,11.0,20.544126,-98.221813,11.0,2,40
2836,A1,1,8.0,20.530517,-98.237632,8.0,2,41
1730,A1,1,1.0,20.507493,-98.241016,1.0,2,42
303,A1,2,40.5,20.520522,-98.233359,81.0,2,43
1234,A1,1,11.0,20.536082,-98.233998,11.0,2,44
2989,A1,1,3.0,20.530301,-98.224939,3.0,2,45
1214,A1,2,2.0,20.53669,-98.210824,4.0,2,46
912,A1,1,2.0,20.524821,-98.231792,2.0,2,47
2667,A1,1,11.0,20.5163,-98.2063,11.0,2,48
852,A1,1,14.0,20.503392,-98.22727,14.0,2,49
1763,A1,1,7.0,20.511549,-98.20542,7.0,2,50
2966,A1,1,6.0,20.533548,-98.211353,6.0,2,51
1507,A1,1,2.0,20.513659,-98.222778,2.0,2,52
2751,A1,1,13.0,20.502981,-98.222975,13.0,2,53
2407,A1,1,1.0,20.5147,-98.2104,1.0,2,54
1603,A1,1,2.0,20.499596,-98.230563,2.0,2,55
774,A1,1,59.0,20.509803,-98.226313,59.0,2,56
20,A1,1,12.0,20.5715,-98.2583,12.0,2,57
667,A1,1,55.0,20.513554,-98.229314,55.0,2,58
1097,A1,1,6.0,20.542014,-98.223622,6.0,2,59
3075,A1,1,8.0,20.519134,-98.209057,8.0,2,60
1525,A1,1,1.0,20.534855,-98.244765,1.0,2,61
787,A1,1,1.0,20.517996,-98.202061,1.0,2,62
328,A1,1,12.0,20.50894,-98.237915,12.0,2,63
2904,A1,1,3.0,20.523512,-98.258533,3.0,2,64
274,A1,1,6.0,20.523197,-98.238487,6.0,2,65
3121,A1,1,30.0,20.537029,-98.242709,30.0,2,66
212,A1,2,10.5,20.525219,-98.238348,21.0,2,67
1319,A1,1,2.0,20.495299,-98.239492,2.0,2,68
112,A1,1,4.0,20.52075,-98.259616,4.0,2,69
2886,A1,1,2.0,20.526581,-98.238725,2.0,2,70
657,A1,1,14.0,20.530131,-98.232112,14.0,2,71
2492,A1,1,2.0,20.534639,-98.270498,2.0,2,72
1183,A1,1,2.0,20.520643,-98.263351,2.0,2,73
714,A1,1,2.0,20.509738,-98.229942,2.0,2,74
3602,A1,1,3.0,20.539655,-98.226042,3.0,2,75
1242,A1,1,57.0,20.549763,-98.221254,57.0,2,76
650,A1,1,5.0,20.523223,-98.273269,5.0,2,77
202,A1,2,17.5,20.527082,-98.228124,35.0,2,78
897,A1,2,10.0,20.527164000000006,-98.223551,20.0,2,79
279,A1,1,27.0,20.545103,-98.217644,27.0,2,80
515,A1,1,2.0,20.538308,-98.222621,2.0,2,81
359,A1,1,35.0,20.496239000000006,-98.23027,35.0,2,82
2604,A1,1,16.0,20.511559,-98.23207,16.0,2,83
3582,A1,1,2.0,20.490668,-98.234846,2.0,2,84
2336,A1,1,1.0,20.527277,-98.22142,1.0,2,85
3598,A1,1,2.0,20.536774,-98.212955,2.0,2,86
1202,A1,1,23.0,20.533747,-98.215363,23.0,2,87
1213,A1,1,1.0,20.539182,-98.251631,1.0,2,88
2623,A1,1,2.0,20.547186,-98.230448,2.0,2,89
457,A1,1,2.0,20.524034,-98.231051,2.0,2,90
1523,A1,1,2.0,20.505833,-98.231015,2.0,2,91
1524,A1,1,16.0,20.512338,-98.247377,16.0,2,92
1814,A1,1,5.0,20.515689,-98.235121,5.0,2,93
2855,A1,1,2.0,20.535551,-98.236445,2.0,2,94
825,A1,1,4.0,20.5113,-98.219537,4.0,2,95
638,A1,1,32.0,20.507559,-98.239249,32.0,2,96
458,A1,1,5.0,20.498895,-98.230392,5.0,2,97
1554,A1,2,35.5,20.51524,-98.20358,71.0,2,98
181,A1,2,11.0,20.515205,-98.215453,22.0,2,99
