Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Vol_total,Cluster,order
1824,A1,2,33.0,20.517169,-98.203609,66.0,3,0
2983,A1,1,2.0,20.538494,-98.231969,2.0,3,1
3518,A1,1,21.0,20.545979,-98.247131,21.0,3,2
833,A1,1,12.0,20.539276,-98.230156,12.0,3,3
1251,A1,1,2.0,20.529621,-98.216601,2.0,3,4
686,A1,1,3.0,20.524633,-98.229555,3.0,3,5
614,A1,1,1.0,20.53215,-98.241295,1.0,3,6
421,A1,1,55.0,20.521807,-98.253224,55.0,3,7
1382,A1,1,2.0,20.516067,-98.206196,2.0,3,8
1335,A1,1,1.0,20.521893,-98.214367,1.0,3,9
52,A1,2,14.5,20.518438,-98.223294,29.0,3,10
1189,A1,1,6.0,20.544328,-98.23569,6.0,3,11
2757,A1,1,16.0,20.533879,-98.257161,16.0,3,12
2403,A1,1,5.0,20.539118,-98.235153,5.0,3,13
245,A1,1,6.0,20.535974,-98.221491,6.0,3,14
1003,A1,1,2.0,20.552953,-98.218919,2.0,3,15
1828,A1,2,1.0,20.537119,-98.227251,2.0,3,16
3105,A1,1,2.0,20.53087,-98.226875,2.0,3,17
1264,A1,1,2.0,20.537512,-98.230853,2.0,3,18
2699,A1,1,2.0,20.512653,-98.216383,2.0,3,19
285,A1,1,4.0,20.533871,-98.225585,4.0,3,20
1603,A1,1,2.0,20.499596,-98.230563,2.0,3,21
402,A1,1,3.0,20.5208,-98.22683,3.0,3,22
346,A1,1,108.0,20.502366,-98.246438,108.0,3,23
3219,A1,1,3.0,20.545531,-98.242267,3.0,3,24
73,A1,2,21.0,20.527413,-98.227856,42.0,3,25
2896,A1,1,1.0,20.529511,-98.210433,1.0,3,26
493,A1,1,35.0,20.503447,-98.24134,35.0,3,27
126,A1,2,24.5,20.494344,-98.226674,49.0,3,28
1449,A1,1,14.0,20.505724,-98.243537,14.0,3,29
2949,A1,1,19.0,20.529301,-98.238073,19.0,3,30
112,A1,1,4.0,20.52075,-98.259616,4.0,3,31
1822,A1,1,118.0,20.526621,-98.216251,118.0,3,32
644,A1,1,3.0,20.515329,-98.213401,3.0,3,33
353,A1,1,12.0,20.541469,-98.224333,12.0,3,34
978,A1,1,3.0,20.533968,-98.221086,3.0,3,35
