Id_Cliente,id_Agencia,Frecuencia,Vol_Entrega,lat,lon,Vol_total,Cluster
2751,A1,1,13.0,20.502981,-98.222975,13.0,2
3583,A1,1,2.0,20.534254999999998,-98.21870899999999,2.0,2
112,A1,1,4.0,20.52075,-98.25961600000001,4.0,2
740,A1,1,11.0,20.544126000000002,-98.221813,11.0,2
2407,A1,1,1.0,20.5147,-98.2104,1.0,2
212,A1,2,10.5,20.525219,-98.238348,21.0,2
1524,A1,1,16.0,20.512338,-98.247377,16.0,2
457,A1,1,2.0,20.524034,-98.23105100000001,2.0,2
1072,A1,1,1.0,20.53516,-98.234425,1.0,2
3075,A1,1,8.0,20.519134,-98.209057,8.0,2
1814,A1,1,5.0,20.515689000000002,-98.23512099999999,5.0,2
657,A1,1,14.0,20.530131,-98.232112,14.0,2
684,A1,1,3.0,20.513761,-98.243933,3.0,2
1424,A1,1,2.0,20.510017,-98.23219,2.0,2
1224,A1,1,2.0,20.547051,-98.220956,2.0,2
885,A1,1,1.0,20.525074,-98.235361,1.0,2
142,A1,3,18.33333333,20.502078,-98.218762,54.99999998999999,2
1234,A1,1,11.0,20.536082,-98.233998,11.0,2
1822,A1,1,118.0,20.526621,-98.216251,118.0,2
1213,A1,1,1.0,20.539182,-98.251631,1.0,2
1319,A1,1,2.0,20.495299,-98.239492,2.0,2
1603,A1,1,2.0,20.499596,-98.230563,2.0,2
3582,A1,1,2.0,20.490668,-98.23484599999999,2.0,2
3159,A1,1,3.0,20.538311,-98.23931,3.0,2
3602,A1,1,3.0,20.539655,-98.226042,3.0,2
2944,A1,1,37.0,20.525395,-98.22946999999999,37.0,2
303,A1,2,40.5,20.520522,-98.233359,81.0,2
2836,A1,1,8.0,20.530517,-98.23763199999999,8.0,2
437,A1,1,39.0,20.497717,-98.232389,39.0,2
1214,A1,2,2.0,20.53669,-98.210824,4.0,2
279,A1,1,27.0,20.545103,-98.21764399999999,27.0,2
3473,A1,1,5.0,20.512974,-98.204622,5.0,2
1243,A1,1,7.0,20.537664000000003,-98.220674,7.0,2
2667,A1,1,11.0,20.5163,-98.2063,11.0,2
20,A1,1,12.0,20.5715,-98.2583,12.0,2
2387,A1,1,7.0,20.530102,-98.265963,7.0,2
2886,A1,1,2.0,20.526581,-98.238725,2.0,2
202,A1,2,17.5,20.527082,-98.228124,35.0,2
16,A1,1,12.0,20.5433,-98.228,12.0,2
1523,A1,1,2.0,20.505833,-98.231015,2.0,2
1507,A1,1,2.0,20.513659,-98.222778,2.0,2
2904,A1,1,3.0,20.523512,-98.258533,3.0,2
3022,A1,1,5.0,20.511885,-98.224175,5.0,2
2336,A1,1,1.0,20.527276999999998,-98.22142,1.0,2
3219,A1,1,3.0,20.545531,-98.242267,3.0,2
515,A1,1,2.0,20.538307999999997,-98.22262099999999,2.0,2
714,A1,1,2.0,20.509738,-98.22994200000001,2.0,2
3598,A1,1,2.0,20.536773999999998,-98.21295500000001,2.0,2
1554,A1,2,35.5,20.51524,-98.20358,71.0,2
1730,A1,1,1.0,20.507493,-98.241016,1.0,2
2623,A1,1,2.0,20.547186,-98.230448,2.0,2
2627,A1,1,2.0,20.53146,-98.24698599999999,2.0,2
834,A1,1,1.0,20.513004000000002,-98.228594,1.0,2
1202,A1,1,23.0,20.533747,-98.215363,23.0,2
2744,A1,1,14.0,20.509859,-98.218921,14.0,2
897,A1,2,10.0,20.527164000000003,-98.223551,20.0,2
1183,A1,1,2.0,20.520643,-98.263351,2.0,2
274,A1,1,6.0,20.523197,-98.238487,6.0,2
52,A1,2,14.5,20.518438,-98.223294,29.0,2
61,A1,2,10.0,20.50756,-98.222328,20.0,2
787,A1,1,1.0,20.517996,-98.202061,1.0,2
2176,A1,1,2.0,20.527863,-98.233871,2.0,2
774,A1,1,59.0,20.509803,-98.226313,59.0,2
2713,A1,1,2.0,20.534334,-98.213183,2.0,2
2625,A1,1,10.0,20.532415,-98.252615,10.0,2
2966,A1,1,6.0,20.533548,-98.211353,6.0,2
650,A1,1,5.0,20.523223,-98.273269,5.0,2
825,A1,1,4.0,20.5113,-98.219537,4.0,2
912,A1,1,2.0,20.524821,-98.231792,2.0,2
344,A1,1,40.0,20.538470999999998,-98.229586,40.0,2
2811,A1,1,2.0,20.52705,-98.23411999999999,2.0,2
2855,A1,1,2.0,20.535551,-98.23644499999999,2.0,2
2653,A1,1,18.0,20.514638,-98.20145699999999,18.0,2
2604,A1,1,16.0,20.511559,-98.23207,16.0,2
614,A1,1,1.0,20.53215,-98.241295,1.0,2
2804,A1,1,2.0,20.507791,-98.240602,2.0,2
1525,A1,1,1.0,20.534855,-98.244765,1.0,2
1393,A1,1,98.0,20.504592000000002,-98.218183,98.0,2
2989,A1,1,3.0,20.530301,-98.224939,3.0,2
2896,A1,1,1.0,20.529511,-98.210433,1.0,2
638,A1,1,32.0,20.507559,-98.239249,32.0,2
458,A1,1,5.0,20.498895,-98.23039200000001,5.0,2
2973,A1,1,1.0,20.53784,-98.227597,1.0,2
328,A1,1,12.0,20.50894,-98.237915,12.0,2
560,A1,1,2.0,20.505129,-98.245211,2.0,2
2899,A1,1,2.0,20.501262,-98.24661400000001,2.0,2
1242,A1,1,57.0,20.549763000000002,-98.221254,57.0,2
1093,A1,1,14.0,20.555362,-98.222261,14.0,2
852,A1,1,14.0,20.503392,-98.22726999999999,14.0,2
359,A1,1,35.0,20.496239000000003,-98.23026999999999,35.0,2
1763,A1,1,7.0,20.511549,-98.20541999999999,7.0,2
1097,A1,1,6.0,20.542014,-98.22362199999999,6.0,2
2742,A1,1,15.0,20.51282,-98.221717,15.0,2
667,A1,1,55.0,20.513554,-98.229314,55.0,2
1244,A1,1,2.0,20.524688,-98.207666,2.0,2
181,A1,2,11.0,20.515204999999998,-98.215453,22.0,2
2492,A1,1,2.0,20.534639000000002,-98.270498,2.0,2
392,A1,1,38.0,20.52949,-98.235638,38.0,2
367,A1,1,2.0,20.53896,-98.225699,2.0,2
3121,A1,1,30.0,20.537029,-98.24270899999999,30.0,2
